Protocolo;Dt. Cadastro;Ximenes;Despachante;Distribuidor;Vl. Cart¢rio;Daj;Vl. Total Custas;Convenio;Custas Fechadas;Vl. Ximenes Gest∆o;Vl. Ximenes Aut.;Vl. Ximenes Rec.;Vl. Ximenes Outros;Representante
P53021;28/01/2016;100;0;0;9,9;0;113,5;02.906.223/0001-11;NAO;103,6;0;3,6;0;630231303
P50355;07/12/2015;100;0;0;307,42;0;411,02;;NAO;103,6;0;3,6;0;630231303
P53752;05/02/2016;100;50;0;130,13;0;311,93;;NAO;131,8;24,6;7,2;0;630231303
P53352;04/02/2016;80;0;0;150,8;0;252,35;;NAO;101,55;14,35;7,2;0;630231303
P53365;04/02/2016;100;0;0;292,58;0;410,53;;NAO;117,95;14,35;3,6;0;630231303
P53773;05/02/2016;100;0;0;335,7;0;453,65;;NAO;117,95;14,35;3,6;0;630231303
P53000;28/01/2016;130;0;0;164,08;0;325,88;02.906.223/0001-11;NAO;161,8;24,6;7,2;0;630231303
P53744;05/02/2016;100;0;0;215,5;0;347,3;;NAO;131,8;24,6;7,2;0;630231303
P52632;22/01/2016;100;0;0;417,3;0;549,1;;NAO;131,8;24,6;7,2;0;630231303
P46049;17/09/2015;140;90;0;0;0;245,75;;NAO;155,75;9,25;6,5;0;630231303
P53833;10/02/2016;100;0;0;385,98;0;489,58;;NAO;103,6;0;3,6;0;630231303
P53197;02/02/2016;80;0;0;127,92;0;211,52;;NAO;83,6;0;3,6;0;630231303
P53724;04/02/2016;160;0;0;768,9;0;946,85;;NAO;177,95;14,35;3,6;0;630231303
P53253;03/02/2016;160;0;0;768,9;0;960,7;;NAO;191,8;24,6;7,2;0;630231303
P53878;11/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53877;11/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53831;10/02/2016;140;80;0;0;0;248,2;;NAO;168,2;24,6;3,6;0;630231303
P53813;10/02/2016;140;80;0;0;0;248,2;;NAO;168,2;24,6;3,6;0;630231303
P53750;05/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53748;05/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53543;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53542;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53541;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53540;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53539;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53388;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53386;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53385;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53383;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53381;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53379;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53378;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53377;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53376;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53375;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53374;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P53373;04/02/2016;140;80;0;0;0;252,3;;NAO;172,3;28,7;3,6;0;630231303
P52082;13/01/2016;160;0;0;768,9;0;936,1;;NAO;167,2;0;7,2;0;630231303
P52842;26/01/2016;100;0;0;184,37;0;302,32;;NAO;117,95;14,35;3,6;0;630231303
P52290;18/01/2016;80;0;0;169,43;0;265,33;;NAO;95,9;12,3;3,6;0;630231303
P51413;28/12/2015;140;0;0;13;0;178,45;02.906.223/0001-11;SIM;165,45;22,2;3,25;0;630231303
P51584;30/12/2015;100;0;0;200,2;0;327,44;02.906.223/0001-11;SIM;127,24;20,2;7,04;0;630231303
P50518;09/12/2015;100;0;0;254,5;0;383,2;;SIM;128,7;22,2;6,5;0;630231303
P50456;09/12/2015;100;0;0;264,5;0;387,65;;SIM;123,15;16,65;6,5;0;630231303
P50324;04/12/2015;100;0;0;210,2;0;333,35;;SIM;123,15;16,65;6,5;0;630231303
P53761;05/02/2016;100;0;0;298,1;0;426,3;;NAO;128,2;24,6;3,6;0;630231303
P53800;10/02/2016;160;80;126,61;523,81;0;897,62;;NAO;293,81;0;7,2;0;630231303
P53327;03/02/2016;160;90;173,63;758,9;0;1189,73;;NAO;340,83;0;7,2;0;630231303
P52669;22/01/2016;160;90;173,63;758,9;0;1189,73;;NAO;340,83;0;7,2;0;630231303
P52325;18/01/2016;160;90;165,78;719,71;0;1139,09;;NAO;329,38;0;3,6;0;630231303
P52255;18/01/2016;160;90;173,63;758,9;0;1189,73;;NAO;340,83;0;7,2;0;630231303
P51271;22/12/2015;160;90;173,63;758,9;0;1189,73;;NAO;340,83;0;7,2;0;630231303
P47496;08/10/2015;100;0;9;109,38;0;249,66;;SIM;140,28;24,24;7,04;0;630231303
P53855;11/02/2016;60;0;7,41;0;0;95,61;;NAO;95,61;24,6;3,6;0;630231303
P53368;04/02/2016;100;0;0;225,5;0;357,3;;NAO;131,8;24,6;7,2;0;630231303
P53335;03/02/2016;130;0;0;662,33;0;813,88;;NAO;151,55;14,35;7,2;0;630231303
P53746;05/02/2016;100;0;0;346;0;467,55;;NAO;121,55;14,35;7,2;0;630231303
P53356;04/02/2016;80;0;0;106,4;0;207,95;;NAO;101,55;14,35;7,2;0;630231303
P53349;04/02/2016;80;0;0;100,4;0;208,6;;NAO;108,2;24,6;3,6;0;630231303
P53784;05/02/2016;100;0;0;241,7;0;363,25;;NAO;121,55;14,35;7,2;0;630231303
P53745;05/02/2016;100;0;0;274,16;0;395,71;;NAO;121,55;14,35;7,2;0;630231303
P53351;04/02/2016;80;0;0;145,7;0;247,25;;NAO;101,55;14,35;7,2;0;630231303
P53198;02/02/2016;100;0;0;152,34;0;270,29;;NAO;117,95;14,35;3,6;0;630231303
P53231;03/02/2016;80;0;0;45,83;0;157,63;;NAO;111,8;24,6;7,2;0;630231303
P53287;03/02/2016;130;0;0;717,3;0;868,85;;NAO;151,55;14,35;7,2;0;630231303
P53070;29/01/2016;80;0;0;108,04;0;219,84;;NAO;111,8;24,6;7,2;0;630231303
P53243;03/02/2016;100;0;0;259,15;0;380,7;;NAO;121,55;14,35;7,2;0;630231303
P47841;15/10/2015;100;0;0;361,63;0;493,43;;NAO;131,8;24,6;7,2;0;630231303
P53764;05/02/2016;100;0;0;264,92;0;386,47;;NAO;121,55;14,35;7,2;0;630231303
P52569;21/01/2016;100;0;0;416,62;0;537,8;;NAO;121,18;14,14;7,04;0;630231303
P53769;05/02/2016;100;0;0;411,86;0;515,46;;NAO;103,6;0;3,6;0;630231303
P50998;16/12/2015;75;0;0;491,44;0;569,69;;NAO;78,25;0;3,25;0;630231303
P53814;10/02/2016;100;0;9;0;0;112,6;;NAO;112,6;0;3,6;0;630231303
P46468;24/09/2015;80;0;0;298;0;403;;NAO;105;18,5;6,5;0;630231303
P53011;28/01/2016;100;0;0;265,16;0;396,96;02.906.223/0001-11;NAO;131,8;24,6;7,2;0;630231303
P51315;22/12/2015;100;0;0;312,23;0;443,51;;SIM;131,28;24,24;7,04;0;630231303
P52885;27/01/2016;80;0;0;66,46;0;174,16;;NAO;107,7;20,5;7,2;0;630231303
P50580;10/12/2015;80;0;6,7;164,44;0;279,84;;NAO;115,4;22,2;6,5;0;630231303
P53807;10/02/2016;100;0;0;192,94;0;310,89;;NAO;117,95;14,35;3,6;0;630231303
P52659;22/01/2016;130;0;0;6171,98;0;6305,58;;NAO;133,6;0;3,6;0;630231303
P52508;21/01/2016;100;0;0;288,6;0;420,4;;NAO;131,8;24,6;7,2;0;630231303
P52085;13/01/2016;160;0;0;773,9;0;951,85;;NAO;177,95;14,35;3,6;0;630231303
P52484;21/01/2016;80;0;0;117,3;0;225,5;;NAO;108,2;24,6;3,6;0;630231303
P52302;18/01/2016;80;0;0;621,97;0;723,52;;NAO;101,55;14,35;7,2;0;630231303
P53072;29/01/2016;80;0;0;642,06;0;740,01;;NAO;97,95;14,35;3,6;0;630231303
P53768;05/02/2016;100;0;0;408,86;0;540,66;;NAO;131,8;24,6;7,2;0;630231303
P51642;05/01/2016;130;0;0;1314,26;0;1465,81;;NAO;151,55;14,35;7,2;0;630231303
P52293;18/01/2016;80;0;0;131,35;0;218,55;;NAO;87,2;0;7,2;0;630231303
P52287;18/01/2016;80;0;0;131,66;0;218,86;;NAO;87,2;0;7,2;0;630231303
P52280;18/01/2016;80;0;0;131,66;0;231,16;;NAO;99,5;12,3;7,2;0;630231303
P53013;28/01/2016;100;0;0;559,88;0;659,88;02.906.223/0001-11;NAO;100;0;0;0;630231303
P52695;22/01/2016;130;0;0;212,51;0;363,69;;NAO;151,18;14,14;7,04;0;630231303
P51167;18/12/2015;100;0;0;478,2;0;581,8;;NAO;103,6;0;3,6;0;630231303
P50301;04/12/2015 13:55:15;205;0;0;36,57;0;257,77;;NAO;221,2;12,95;3,25;0;630231303
P53322;03/02/2016;130;0;0;851,3;0;1013,1;;NAO;161,8;24,6;7,2;0;630231303
P53862;11/02/2016 11:26:32;75;0;0;93,6;0;172,2;;NAO;78,6;0;3,6;0;630231303
P50035;30/11/2015;100;0;0;229,8;0;346;;NAO;116,2;12,95;3,25;0;630231303
P51885;08/01/2016;100;0;0;242,5;0;373,78;02.906.223/0001-11;SIM;131,28;24,24;7,04;0;630231303
P53771;05/02/2016;100;0;0;850,7;0;954,3;;NAO;103,6;0;3,6;0;630231303
